Date,Tweet
5/27/2022 3:30,"RT @RonRonkmfa: #FreedomIsntFree
It has to be
- earned
- fought for
- died for
- protected
Please appreciate &amp; thank those who sacrifice mu…"
5/27/2022 3:27,"RT @CattleDog22: @fordnation But has Toronto lawyer with an invite arrested becuz he didn't want her there.
#censorship
#racism
#sexism
#Di…"
5/27/2022 3:23,I'm old enough to remember that #BlackLivesMatter - including in #Chicago:  https://t.co/E2Xn2XtCsy #BLM? #Uvalde… https://t.co/YdU4S6AjMn
5/27/2022 3:18,Police stop and search Britain's top police chief SIX times https://t.co/MaiKakThu5 via @MailOnline #racism #uk
5/27/2022 3:17,RT @deAdder: Thoughts and prayers.  #shooting #Buffalo #BuffaloStrong #racism https://t.co/3xANJtRYnf
5/27/2022 3:14,#Racism remains rife towards Chinese-Australians (and many non-white Australians) because it is systemic &amp; deep in… https://t.co/QNM1DEDE5a
5/27/2022 3:05,"Our free event is tomorrow! Friday May 27
Environmental #Discrimination - A Global Problem
- join women from around… https://t.co/91Hnqz5ykK"
5/27/2022 3:02,"RT @YankBVI: Welcome to Florida, welcome to Martin County's ""A""rated schools, Hidden Oaks Middle School, Palm City. Watermelon and Zebra le…"
5/27/2022 3:01,RT @deAdder: Thoughts and prayers.  #shooting #Buffalo #BuffaloStrong #racism https://t.co/3xANJtRYnf
5/27/2022 2:56,"RT @Capt_Tukali: TRUTH ABOUT KOMAGATA MARU, CANADA

THE IMMIGRATION OFFICERS WHO DENIED ENTRY TO THE SICK SIKHS DID THE RIGHT THING

JUSTIN…"
5/27/2022 2:55,RT @TheUnKaren: @lew1184 @elizabethbetsyr @Pups4Truth @BentArmPose @oceanfront133 @headrush67 @GreatOhio @GitmoIs @RonDehlin @PrdAmerican10…
5/27/2022 2:52,Racism in #Australia - Violence against aboriginal Australians | DW Docum... https://t.co/6JySrcbFgk via @YouTube… https://t.co/Zr7XnxEmDI
5/27/2022 2:51,RT @CinskJanne: @punkitt3n @TheSGTJoker the ugly classism &amp; racism &amp; therefore negligence &amp; most of all the grift of TX is about to be expo…
5/27/2022 2:50,#Medicalintuitive #healer @CSCarrigan interviews #selfconfidence #coach @kimberlylcarte2 about how #racism affects… https://t.co/n9EkM06FT3
5/27/2022 2:50,#Medicalintuitive #healer @CSCarrigan interviews #selfconfidence #coach @kimberlylcarte2 about how #racism affects… https://t.co/Lofv8iDLkS
5/27/2022 2:50,#Medicalintuitive #healer @CSCarrigan interviews #selfconfidence #coach @kimberlylcarte2 about how #racism affects… https://t.co/GNZ8kkPY6Z
5/27/2022 2:48,@SYLSBC @QasimRashid @4lisaguerrero Someone who lives there posted today. Her story was distressing. “There is no… https://t.co/1w68w1l4vy
5/27/2022 2:46,RT @thischairrocks: A society that doesn't value its older members doesn't value the people who work with us either. Because of #ageism and…
5/27/2022 2:44,"RT @npquarterly: In response to white supremacist terror, anti-racist whites must generate horror not only at mass shootings, but at all th…"
5/27/2022 2:43,Exactly #racism #UvaldeMassacre https://t.co/pjStt1vNs1
5/27/2022 2:38,RT @chinascio: Commentary: @SecBlinken continued the practice of the Pompeo era of trying to separate the Chinese government from the Chine…
5/27/2022 2:38,"🔴⚫️🟢PEACE , BALANCE &amp; HARMONY
WITHOUT THE TRAUMA OF AMERICAN WHITE RACISM, BRUTALITY, MURDER, BIAS, LEWDNESS, HATE… https://t.co/rZrYBdDOQi"
5/27/2022 2:31,Commentary: @SecBlinken continued the practice of the Pompeo era of trying to separate the Chinese government from… https://t.co/EeszBRFisE
5/27/2022 2:31,"A heartbreaking portrayal of the bravery of @DrDennar &amp; others fighting #racism in medicine.

A Black Doctor Tried… https://t.co/wWo1FbNiyx"
5/27/2022 2:27,"RT @RonRonkmfa: #FreedomIsntFree
It has to be
- earned
- fought for
- died for
- protected
Please appreciate &amp; thank those who sacrifice mu…"
5/27/2022 2:27,"RT @CaroleNovielli: Pro-abortion vandals attack a Black congregation. Where is outcry? 

Graffiti included messages like “Girls just want t…"
5/27/2022 2:21,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/27/2022 2:18,"RT @WeRAilurophiles: @izzysick101 @81stinfbde @CNeffect @pergolaman 
Hate,greed,and ignorance mark the bloody road to Armageddon and #RACIS…"
5/27/2022 2:18,@punkitt3n @TheSGTJoker the ugly classism &amp; racism &amp; therefore negligence &amp; most of all the grift of TX is about to… https://t.co/WOgBq5h01K
5/27/2022 2:18,Joe Symon has changed his name yet again in attempt to hide from his past. He is no longer using screen name… https://t.co/lDOLLZ8MhT
5/27/2022 2:16,@CNN @cnnbrk @donlemon @DonLemonTonight @Lawrence @TheLastWord the ugly classism &amp; racism &amp; therefore negligence &amp;… https://t.co/8damwW883N
5/27/2022 2:14,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/27/2022 2:08,"RT @ShamjiAdil: 3/4 
➡️ bring in new laws to protect faith institutions from violence and intimidation 
➡️ create a new Cabinet Minister de…"
5/27/2022 2:04,https://t.co/EtE6iGKh5p here is a neo-Nazi once again bashing @hasanthehun for telling the truth f white people the… https://t.co/o2irB6P5M6
5/27/2022 1:59,“One of the thorniest aspects of today’s race debate is that we have come to apply that word to a spread of phenome… https://t.co/fhOK0euIkk
5/27/2022 1:55,"@JesseKellyDC As long as they don’t celebrate white kids or anything having to do with white heritage, because thos… https://t.co/O9E7BBNuJd"
5/27/2022 1:52,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/27/2022 1:52,"RT @alcotex6688: All Americans are created equal,but some are more equal than others.

#HumanRightsViolations
#USA #BLM #Racism
#Whitesupre…"
5/27/2022 1:51,"RT @alcotex6688: All Americans are created equal,but some are more equal than others.

#HumanRightsViolations
#USA #BLM #Racism
#Whitesupre…"
5/27/2022 1:51,"RT @alcotex6688: All Americans are created equal,but some are more equal than others.

#HumanRightsViolations
#USA #BLM #Racism
#Whitesupre…"
5/27/2022 1:51,"RT @alcotex6688: All Americans are created equal,but some are more equal than others.

#HumanRightsViolations
#USA #BLM #Racism
#Whitesupre…"
5/27/2022 1:51,"All Americans are created equal,but some are more equal than others.

#HumanRightsViolations
#USA #BLM #Racism
#Whitesupremacy"
5/27/2022 1:49,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/27/2022 1:42,RT @DiversityMusing: What we think racism looks like in the hiring process... and what it actually looks like. Racism occurs at each decisi…
5/27/2022 1:40,"And the #RadicalRightwingGOP , who won't let teachers talk about #racism, somehow think that teachers should be exp… https://t.co/3qMrm0YgEC"
